"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","type","max","check_bound","check_bound2","zeke_time_0","zeke_lt_eq3","zeke_lt_eq6","time_to_zeke"
"28",2021-08-18,"Washington",10,269,11.8714734402703,11.4310504372696,2.45,"Start",3.78,FALSE,FALSE,TRUE,TRUE,TRUE,0
"29",2021-08-18,"West Virginia",29,248,22.2079996785978,7.85027232835573,3.5,"Start",12.32,TRUE,TRUE,TRUE,TRUE,TRUE,0
"30",2021-08-25,"District of Columbia",2,163,28.9054607232883,4.5613741884293,0.56,"Start",0.56,FALSE,FALSE,FALSE,FALSE,FALSE,15
"31",2021-08-25,"Iowa",26,225,17.559039894519,8.75937936409248,2.03,"Start",5.81,TRUE,TRUE,TRUE,TRUE,TRUE,0
"32",2021-08-25,"Nebraska",25,224,13.8026724455234,9.90673119898389,0.84,"Start",8.47,TRUE,TRUE,FALSE,FALSE,TRUE,4
"33",2021-08-25,"North Dakota",26,229,14.9594127511935,5.82701806705099,1.68,"Start",6.58,FALSE,TRUE,TRUE,TRUE,TRUE,0
"34",2021-08-25,"Ohio",25,208,17.4008264109298,8.22173615276465,2.1,"Start",10.64,TRUE,TRUE,FALSE,TRUE,TRUE,1
"35",2021-08-25,"South Dakota",26,245,20.007709185121,7.27943954826588,1.82,"Start",5.88,TRUE,TRUE,FALSE,TRUE,TRUE,3
"36",2021-08-25,"Virginia",7,224,13.285659606639,9.3675453032483,2.24,"Start",3.57,TRUE,TRUE,TRUE,TRUE,TRUE,0
"37",2021-09-01,"Colorado",25,201,16.8092442508217,9.73374010970079,1.82,"Start",5.88,TRUE,TRUE,TRUE,TRUE,TRUE,0
"38",2021-09-01,"Illinois",3,229,15.6725698697922,9.13556522281684,2.31,"Start",2.31,TRUE,TRUE,TRUE,TRUE,TRUE,0
"39",2021-09-01,"Wisconsin",25,238,21.3312851635587,10.5004534183067,1.54,"Start",6.09,TRUE,TRUE,TRUE,TRUE,TRUE,0
"40",2021-09-15,"District of Columbia",1,247,16.2947450155792,4.73207026208483,0.63,"Start",0.63,TRUE,TRUE,FALSE,FALSE,FALSE,15
"41",2021-09-15,"Michigan",23,217,12.7968188590264,7.61755892277256,2.52,"Start",8.89,TRUE,TRUE,TRUE,TRUE,TRUE,0
"42",2021-09-15,"Minnesota",23,235,10.4084805533411,9.03012245449542,2.03,"Start",5.18,FALSE,TRUE,TRUE,TRUE,TRUE,0
"43",2021-09-15,"Pennsylvania",22,236,15.4819692471225,9.00088582742926,3.15,"Start",9.1,TRUE,TRUE,TRUE,TRUE,TRUE,0
"44",2021-09-22,"Maine",2,238,15.3993566491,9.59094606663415,1.33,"Start",1.96,FALSE,TRUE,TRUE,TRUE,TRUE,0
"45",2021-09-22,"Vermont",2,240,10.8976280030577,5.18985338963854,2.1,"Start",2.1,FALSE,TRUE,TRUE,TRUE,TRUE,0
"46",2021-10-06,"Nevada",1,187,21.1352931474899,12.57057240784,3.78,"Start",3.78,FALSE,FALSE,TRUE,TRUE,TRUE,0
"47",2021-10-13,"Maine",20,258,10.2662377660667,7.30880699689298,2.87,"Start",8.4,FALSE,FALSE,TRUE,TRUE,TRUE,0
"48",2021-10-20,"New Hampshire",18,283,13.605832415859,7.36499205392062,2.66,"Start",5.53,FALSE,FALSE,TRUE,TRUE,TRUE,0
"49",2021-10-27,"Kansas",1,204,14.1762954491002,7.95698944723999,3.5,"Start",3.5,TRUE,TRUE,TRUE,TRUE,TRUE,0
"50",2021-11-10,"Indiana",15,208,15.0173367800424,8.89752141744478,3.5,"Start",10.99,TRUE,TRUE,TRUE,TRUE,TRUE,0
"51",2021-11-10,"Kansas",15,234,16.3044560249942,7.30361241318354,2.38,"Start",8.19,TRUE,TRUE,TRUE,TRUE,TRUE,0
"52",2021-11-10,"Vermont",16,350,11.0578872383968,5.86909152129757,0.98,"Start",3.22,FALSE,FALSE,TRUE,TRUE,TRUE,0
"53",2021-11-17,"Delaware",14,225,12.3233144786622,5.89087729309873,2.8,"Start",6.44,TRUE,TRUE,TRUE,TRUE,TRUE,0
"54",2021-11-17,"Kentucky",16,213,17.9959455403294,7.63658120346362,8.96,"Start",8.96,TRUE,TRUE,TRUE,TRUE,TRUE,0
"55",2021-11-17,"New York",13,208,10.2706131797669,5.14809425410927,1.75,"Start",7.63,FALSE,TRUE,TRUE,TRUE,TRUE,0
"56",2021-11-24,"Illinois",13,257,13.0289087890367,7.50060660811041,2.73,"Start",8.54,TRUE,TRUE,TRUE,TRUE,TRUE,0
"57",2021-12-01,"Massachusetts",11,290,11.4617287798061,5.03617096522635,3.08,"Start",7.91,FALSE,FALSE,TRUE,TRUE,TRUE,0
