OBJECTID,ReportDate,Statewide
662,2022/01/14 15:00:00+00,202.04
663,2022/01/15 15:00:00+00,193.99
664,2022/01/16 15:00:00+00,171.17
665,2022/01/17 15:00:00+00,163.22
666,2022/01/18 15:00:00+00,146.96
667,2022/01/19 15:00:00+00,129.63
668,2022/01/20 15:00:00+00,124.92
669,2022/01/21 15:00:00+00,111.98
670,2022/01/22 15:00:00+00,99.48
671,2022/01/23 15:00:00+00,89.02
672,2022/01/24 15:00:00+00,79.56
673,2022/01/25 15:00:00+00,77.54
674,2022/01/26 15:00:00+00,74.58
675,2022/01/27 15:00:00+00,60.89
676,2022/01/28 15:00:00+00,56.54
677,2022/01/29 15:00:00+00,50.54
678,2022/01/30 15:00:00+00,46.33
679,2022/01/31 15:00:00+00,42.4
680,2022/02/01 15:00:00+00,40.06
681,2022/02/02 15:00:00+00,36.21
682,2022/02/03 15:00:00+00,33.22
683,2022/02/04 15:00:00+00,29.72
684,2022/02/05 15:00:00+00,27.75
685,2022/02/06 15:00:00+00,25.76
686,2022/02/07 15:00:00+00,24.98
687,2022/02/08 15:00:00+00,23.12
688,2022/02/09 15:00:00+00,21.52
689,2022/02/10 15:00:00+00,18.98
690,2022/02/11 15:00:00+00,17.2
691,2022/02/12 15:00:00+00,15.43
692,2022/02/13 15:00:00+00,14.37
693,2022/02/14 15:00:00+00,13.5
694,2022/02/15 15:00:00+00,12.66
695,2022/02/16 15:00:00+00,11.92
696,2022/02/17 15:00:00+00,11.1
697,2022/02/18 15:00:00+00,10.9
698,2022/02/19 15:00:00+00,10.72
699,2022/02/20 15:00:00+00,11.6
700,2022/02/21 15:00:00+00,11.47
701,2022/02/22 15:00:00+00,11.32
702,2022/02/23 15:00:00+00,10.99
703,2022/02/24 15:00:00+00,10.78
704,2022/02/25 15:00:00+00,10.35
705,2022/02/26 15:00:00+00,10.54
706,2022/02/27 15:00:00+00,8.87
707,2022/02/28 15:00:00+00,8.92
708,2022/03/01 15:00:00+00,8.85
709,2022/03/02 15:00:00+00,9
710,2022/03/03 15:00:00+00,8.55
711,2022/03/04 15:00:00+00,7.91
712,2022/03/05 15:00:00+00,6.57
713,2022/03/06 15:00:00+00,6.26
714,2022/03/07 15:00:00+00,5.87
715,2022/03/08 15:00:00+00,5.72
