OBJECTID,ReportDate,Statewide
369,2021/03/27 14:00:00+00,18.18
370,2021/03/28 14:00:00+00,18.95
371,2021/03/29 14:00:00+00,19.78
372,2021/03/30 14:00:00+00,20.21
373,2021/03/31 14:00:00+00,20.66
374,2021/04/01 14:00:00+00,21.14
375,2021/04/02 14:00:00+00,21.37
376,2021/04/03 14:00:00+00,21.15
377,2021/04/04 14:00:00+00,21.94
378,2021/04/05 14:00:00+00,21.53
379,2021/04/06 14:00:00+00,21.45
380,2021/04/07 14:00:00+00,21.7
381,2021/04/08 14:00:00+00,21.02
382,2021/04/09 14:00:00+00,21.92
383,2021/04/10 14:00:00+00,22.65
384,2021/04/11 14:00:00+00,22.21
385,2021/04/12 14:00:00+00,22.51
386,2021/04/13 14:00:00+00,23.02
387,2021/04/14 14:00:00+00,23.22
388,2021/04/15 14:00:00+00,23.56
389,2021/04/16 14:00:00+00,22.91
390,2021/04/17 14:00:00+00,22.71
391,2021/04/18 14:00:00+00,21.97
392,2021/04/19 14:00:00+00,21.13
393,2021/04/20 14:00:00+00,20.76
394,2021/04/21 14:00:00+00,19.94
395,2021/04/22 14:00:00+00,19.37
396,2021/04/23 14:00:00+00,18.42
397,2021/04/24 14:00:00+00,17.7
398,2021/04/25 14:00:00+00,17.08
399,2021/04/26 14:00:00+00,16.91
400,2021/04/27 14:00:00+00,16.32
401,2021/04/28 14:00:00+00,15.84
402,2021/04/29 14:00:00+00,15.28
403,2021/04/30 14:00:00+00,14.76
404,2021/05/01 14:00:00+00,14.15
405,2021/05/02 14:00:00+00,13.54
406,2021/05/03 14:00:00+00,13.46
407,2021/05/04 14:00:00+00,13.04
408,2021/05/05 14:00:00+00,12.28
409,2021/05/06 14:00:00+00,11.36
410,2021/05/07 14:00:00+00,10.95
411,2021/05/08 14:00:00+00,10.28
412,2021/05/09 14:00:00+00,9.77
413,2021/05/10 14:00:00+00,9.2
414,2021/05/11 14:00:00+00,8.96
